0:0:0:0:0:0:0:1 - - [12/May/2024:03:51:59 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [12/May/2024:03:51:59 -0400] "GET /aulascursosya/xava/editors/flatpickr/en.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [12/May/2024:03:51:59 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 118850
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:00 -0400] "GET /aulascursosya/m/Categorias?init=true HTTP/1.1" 200 19321
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:01 -0400] "GET /aulascursosya/dwr/interface/Modules.js?ox=7.2.3 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:01 -0400] "GET /aulascursosya/dwr/interface/Folders.js?ox=7.2.3 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:01 -0400] "GET /aulascursosya/dwr/interface/View.js?ox=7.2.3 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:01 -0400] "GET /aulascursosya/dwr/interface/Module.js?ox=7.2.3 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:01 -0400] "GET /aulascursosya/dwr/interface/Tab.js?ox=7.2.3 HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:01 -0400] "GET /aulascursosya/dwr/interface/Discussion.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:01 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:01 -0400] "GET /aulascursosya/xava/editors/flatpickr/en.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:01 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 24355
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:02 -0400] "GET /aulascursosya/m/Cargos?init=true HTTP/1.1" 200 19360
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:03 -0400] "GET /aulascursosya/dwr/interface/Modules.js?ox=7.2.3 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:03 -0400] "GET /aulascursosya/dwr/interface/Folders.js?ox=7.2.3 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:03 -0400] "GET /aulascursosya/dwr/interface/Module.js?ox=7.2.3 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:03 -0400] "GET /aulascursosya/dwr/interface/Tab.js?ox=7.2.3 HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:03 -0400] "GET /aulascursosya/dwr/interface/View.js?ox=7.2.3 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:03 -0400] "GET /aulascursosya/dwr/interface/Discussion.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:03 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:03 -0400] "GET /aulascursosya/xava/editors/flatpickr/en.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:03 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 21874
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:04 -0400] "GET /aulascursosya/m/Areas?init=true HTTP/1.1" 200 19433
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:04 -0400] "GET /aulascursosya/dwr/interface/Folders.js?ox=7.2.3 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:04 -0400] "GET /aulascursosya/dwr/interface/Modules.js?ox=7.2.3 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:04 -0400] "GET /aulascursosya/dwr/interface/Module.js?ox=7.2.3 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:04 -0400] "GET /aulascursosya/dwr/interface/View.js?ox=7.2.3 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:04 -0400] "GET /aulascursosya/dwr/interface/Tab.js?ox=7.2.3 HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:04 -0400] "GET /aulascursosya/dwr/util.js?ox=7.2.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:04 -0400] "GET /aulascursosya/dwr/interface/Discussion.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:04 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:04 -0400] "GET /aulascursosya/xava/editors/flatpickr/en.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:04 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 23765
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:05 -0400] "GET /aulascursosya/m/Actividades?init=true HTTP/1.1" 200 19600
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:05 -0400] "GET /aulascursosya/dwr/interface/Modules.js?ox=7.2.3 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:05 -0400] "GET /aulascursosya/dwr/interface/Folders.js?ox=7.2.3 HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:05 -0400] "GET /aulascursosya/dwr/interface/Module.js?ox=7.2.3 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:05 -0400] "GET /aulascursosya/dwr/interface/Tab.js?ox=7.2.3 HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:05 -0400] "GET /aulascursosya/dwr/interface/View.js?ox=7.2.3 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:05 -0400] "GET /aulascursosya/dwr/interface/Discussion.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:05 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:05 -0400] "GET /aulascursosya/xava/editors/flatpickr/en.js HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [12/May/2024:03:52:06 -0400] "POST /aulascursosya/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 69925
